destination.bytes,destination.packets,event.duration,network.bytes,network.packets,source.bytes,source.packets
177400,1134,450220649563,281486,2112,104086,978
176158,1130,450174122987,277904,2078,101746,948
174376,1114,449838986084,275922,2062,101546,948
173270,1112,450108748422,273428,2044,100158,932
170940,1092,450106480807,268350,1988,97410,896
169702,1084,450233593184,270040,2026,100338,942
168538,1076,449985181350,268812,2020,100274,944
167300,1068,449991383948,267374,2012,100074,944
166742,1070,450397021478,263488,1968,96746,898
165232,1058,450425975599,262594,1968,97362,910
163582,1048,450138520374,253708,1856,90126,808
161998,1036,420093258008,255658,1900,93660,864
160896,1030,420249157292,257892,1946,96996,916
158900,1016,420076766806,254780,1920,95880,904
157114,1004,420090946425,250654,1878,93540,874
155876,996,420065879732,250032,1882,94156,886
154502,986,420321603842,246010,1836,91508,850
152580,972,360040406602,245136,1844,92556,872
151206,962,359872707222,242066,1812,90860,850
149420,950,359844978048,240116,1802,90696,852
148318,944,360258956300,238814,1796,90496,852
147080,936,360069557577,233432,1730,86352,794
145706,926,360063227071,234986,1766,89280,840
144468,918,360189758448,228652,1686,84184,768
142818,908,360254522238,230102,1726,87284,818
141036,892,359986396303,227304,1698,86268,806
139658,886,359975591497,224130,1670,84472,784
138082,876,360172663062,222254,1660,84172,784
136980,870,360120585522,221360,1660,84380,790
135194,858,360286277397,219274,1648,84080,790
133956,850,359885685142,213076,1570,79120,720
132372,838,330042966434,209178,1528,76806,690
130998,828,330380529163,212500,1590,81502,762
129352,814,330146150920,209974,1566,80622,752
128658,814,329925080242,210032,1580,81374,766
126872,802,329885890743,205634,1534,78762,732
125634,794,330068415530,203380,1514,77746,720
123852,778,330270538612,202350,1512,78498,734
122886,774,330266173404,200368,1496,77482,722
120828,758,330007583123,198146,1482,77318,724
120134,758,330280257519,193580,1428,73446,670
119106,752,330166286333,193576,1440,74470,688
117320,740,330374729296,189722,1402,72402,662
116082,732,330214259400,188420,1396,72338,664
114844,724,329994657361,183174,1332,68330,608
113058,712,330325857181,186120,1394,73062,682
111820,704,330211815723,181962,1346,70142,642
110236,692,300062870688,179288,1322,69052,630
108318,674,299907901534,174994,1272,66676,598
107624,674,300467846596,177092,1316,69468,642
106522,668,300337371986,175246,1302,68724,634
105148,658,300271508730,172720,1278,67572,620
104046,652,300028034046,170738,1262,66692,610
102260,640,300034390737,167700,1236,65440,596
100478,624,299920686741,165310,1214,64832,590
99784,624,300349263892,162920,1192,63136,568
97862,610,299930460349,160834,1180,62972,570
96970,606,300158153341,158110,1152,61140,546
95048,592,299952586951,156296,1144,61248,552
93402,578,300377063756,153226,1112,59824,534
92024,572,300270400530,152364,1118,60340,546
90922,566,300426570707,146710,1048,55788,482
88790,550,270038928030,147468,1080,58678,530
87004,538,270077577565,145110,1064,58106,526
85218,526,270109855871,141664,1032,56446,506
83844,516,270002687894,139682,1016,55838,500
82742,510,270146042637,137972,1004,55230,494
1360,20,276527635080,2720,40,1360,20
81232,498,270193763880,134766,970,53534,472
80266,494,270262797789,133872,970,53606,476
